lifetimePos,href,name,oneMoPos,oneYrPos
244,https://www.marketplacepulse.com/amazon/usa/green-web-inc,Green Web Inc,527,357
24,https://www.marketplacepulse.com/amazon/usa/jenson-books-inc,Jenson Books Inc,4,2
"2,911",https://www.marketplacepulse.com/amazon/usa/oeago,OEAGO,278,358
21,https://www.marketplacepulse.com/amazon/usa/ankerdirect,AnkerDirect,3,3
"4,924",https://www.marketplacepulse.com/amazon/usa/euphoriacalitime,Euphoria&CaliTime,815,"1,035"
"2,454",https://www.marketplacepulse.com/amazon/usa/jb-trading,J&B Trading,"2,866",851
"1,144",https://www.marketplacepulse.com/amazon/usa/iq-shield,IQ Shield,289,177
860,https://www.marketplacepulse.com/amazon/usa/thiswear,ThisWear,583,364
33,https://www.marketplacepulse.com/amazon/usa/etailz,etailz,5,4
"4,102",https://www.marketplacepulse.com/amazon/usa/gioberti,Gioberti,"1,288","1,037"
"2,646",https://www.marketplacepulse.com/amazon/usa/note-card-cafe,Note Card Cafe,761,852
"6,958",https://www.marketplacepulse.com/amazon/usa/tactideals,Tactideals,"2,401","1,775"
"1,323",https://www.marketplacepulse.com/amazon/usa/pipeline24,pipeline24,"2,958","1,240"
"1,271",https://www.marketplacepulse.com/amazon/usa/alizontech,AlizonTech,183,178
"1,709",https://www.marketplacepulse.com/amazon/usa/webyshops,WebyShops,403,527
"1,653",https://www.marketplacepulse.com/amazon/usa/nagebee,NageBee,314,365
"1,377",https://www.marketplacepulse.com/amazon/usa/artisan-owl,Artisan Owl,631,677
8,https://www.marketplacepulse.com/amazon/usa/river-colony-trading,River Colony Trading,9,8
"1,658",https://www.marketplacepulse.com/amazon/usa/free_shipping_llc,Free_Shipping_LLC,"1,519","1,408"
"6,042",https://www.marketplacepulse.com/amazon/usa/fospower,FosPower,"1,307","1,596"
"7,017",https://www.marketplacepulse.com/amazon/usa/bigmouth-inc,BigMouth Inc.,"1,673","1,038"
"3,361",https://www.marketplacepulse.com/amazon/usa/thorfire-more,ThorFire & More,"4,332",853
"2,929",https://www.marketplacepulse.com/amazon/usa/interspective-llc,INTERSPECTIVE LLC,"1,087","1,776"
"3,736",https://www.marketplacepulse.com/amazon/usa/artsihome,ArtsiHome,"1,190","1,241"
"10,207",https://www.marketplacepulse.com/amazon/usa/ollieroo-express,Ollieroo Express,"2,520","1,945"
"2,099",https://www.marketplacepulse.com/amazon/usa/eboot-online,eBoot Online,71,180
"1,980",https://www.marketplacepulse.com/amazon/usa/betterbasics,BetterBasics,974,529
"2,920",https://www.marketplacepulse.com/amazon/usa/meaneor,Meaneor,159,366
"2,921",https://www.marketplacepulse.com/amazon/usa/90-degree-by-reflex,90 Degree By Reflex,824,678
"2,066",https://www.marketplacepulse.com/amazon/usa/h2h,H2H,839,679
112,https://www.marketplacepulse.com/amazon/usa/quidsi-retail-llc,Quidsi Retail LLC,10,9
"1,812",https://www.marketplacepulse.com/amazon/usa/primo-super-store,Primo Super-store,"5,724","1,409"
"4,415",https://www.marketplacepulse.com/amazon/usa/supplykick,SupplyKick,"1,487","1,597"
"2,000",https://www.marketplacepulse.com/amazon/usa/extra-stuff-2009,extra stuff 2009,"1,155","1,040"
"1,810",https://www.marketplacepulse.com/amazon/usa/kiks-shop,Kiks Shop,"1,068",858
"11,315",https://www.marketplacepulse.com/amazon/usa/super-supplies-llc,Super Supplies LLC,"2,191","1,778"
